% Model:              weld_defect_v2.mph
% Version:            COMSOL 6.4.0.429
% Date:               Sep 23 2026, 13:36
% Table:              Table 4 - Point Evaluation 1
% C_m (s/m)              Time (s)                 Velocity, Z-component (m/s), Point: (0, 0)
1.0E-6                   6.590000000000001E-8     0.170606519029435
1.0E-6                   6.600000000000001E-8     0.18601437752917677
1.0E-6                   6.610000000000002E-8     0.19013779099225514
1.0E-6                   6.620000000000001E-8     0.17518932652702912
1.0E-6                   6.63E-8                  0.1382839069852075
1.0E-6                   6.640000000000001E-8     0.08286157003220893
1.0E-6                   6.65E-8                  0.015955369578789656
1.0E-6                   6.660000000000001E-8     -0.054797991227995266
1.0E-6                   6.670000000000001E-8     -0.121542260931022
1.0E-6                   6.680000000000002E-8     -0.17544513077399707
1.0E-6                   6.690000000000001E-8     -0.20811546658070826
1.0E-6                   6.700000000000002E-8     -0.21546300107661215
1.0E-6                   6.710000000000001E-8     -0.20019580185419572
1.0E-6                   6.72E-8                  -0.16951435908674334
1.0E-6                   6.730000000000001E-8     -0.12961974175642058
1.0E-6                   6.740000000000001E-8     -0.08268300683080053
1.0E-6                   6.750000000000002E-8     -0.029721206368237146
1.0E-6                   6.760000000000001E-8     0.02387990360137315
1.0E-6                   6.770000000000002E-8     0.06731509653623464
1.0E-6                   6.780000000000001E-8     0.0909583178738924
1.0E-6                   6.79E-8                  0.09544823403242723
1.0E-6                   6.800000000000001E-8     0.09412190037016953
1.0E-6                   6.810000000000001E-8     0.10492618177872266
1.0E-6                   6.820000000000002E-8     0.137747878550928
1.0E-6                   6.830000000000001E-8     0.18759935732776964
1.0E-6                   6.840000000000002E-8     0.23863919951250806
1.0E-6                   6.850000000000001E-8     0.27430160951877275
1.0E-6                   6.86E-8                  0.2847455630339728
1.0E-6                   6.870000000000001E-8     0.2676781582307312
1.0E-6                   6.880000000000001E-8     0.22583617838565906
1.0E-6                   6.890000000000001E-8     0.1658347051079934
1.0E-6                   6.900000000000001E-8     0.09842962489872518
1.0E-6                   6.910000000000002E-8     0.036621503941617894
1.0E-6                   6.920000000000001E-8     -0.009549714223452412
1.0E-6                   6.93E-8                  -0.03761189901210946
